Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,TCF3476,N655RW,E170,Arrival,PBI,EWR,Gate_88,Gate_88,4R,4R,SHEDS,,9/20/15 10:29,,9/20/15 8:08,9/20/15 7:55,,9/20/15 8:07,9/20/15 10:29,9/20/15 10:32,9/20/15 11:05,9/20/15 10:33,0:03:46
General Aviation,PDT4776,N806EX,DH8A,Arrival,PHL,EWR,Gate_39,Gate_39,4R,4R,RUUTH,,9/20/15 10:30,,9/20/15 9:55,9/20/15 9:54,,9/20/15 10:05,9/20/15 10:30,9/20/15 10:34,9/20/15 10:48,9/20/15 10:54,0:23:59
United Airlines,RPA3880,N345NG,DH8D,Arrival,PIT,EWR,Gate_101,Gate_101,4R,4R,EWC,,9/20/15 10:32,,9/20/15 8:00,9/20/15 9:16,,9/20/15 9:26,9/20/15 10:32,9/20/15 10:34,9/20/15 9:30,9/20/15 10:35,0:03:13
United Airlines,ASQ5940,N14558,E145,Arrival,PWM,EWR,Gate_27A,Gate_27A,4R,4R,CAM,,9/20/15 10:34,,9/20/15 9:35,9/20/15 9:22,,9/20/15 9:31,9/20/15 10:34,9/20/15 10:40,9/20/15 11:00,9/20/15 10:44,0:10:03
General Aviation,DAL1920,N915DE,MD88,Arrival,ATL,EWR,*46,Gate_46A,4R,4R,SPA,Domestic,9/20/15 10:39,9/20/15,9/20/15 8:55,9/20/15 8:50,,9/20/15 9:02,9/20/15 10:39,9/20/15 10:42,9/20/15 11:04,9/20/15 10:43,0:04:04
United Airlines,ASQ5684,N14158,E45X,Arrival,MSY,EWR,Gate_24A,Gate_24A,4R,4R,GCV,,9/20/15 10:40,,9/20/15 7:33,9/20/15 7:54,,9/20/15 8:09,9/20/15 10:40,9/20/15 10:46,9/20/15 10:29,9/20/15 10:46,0:05:49
United Airlines,RPA4892,N339NG,DH8D,Arrival,PIT,EWR,Gate_105,Gate_105,4R,4R,EWC,,9/20/15 10:43,,9/20/15 9:25,9/20/15 9:28,,9/20/15 9:40,9/20/15 10:43,9/20/15 10:46,9/20/15 10:54,9/20/15 10:47,0:03:39
United Airlines,ASQ4133,N13994,E145,Arrival,ROC,EWR,Gate_27,Gate_27,4R,4R,HANKK,,9/20/15 10:46,,9/20/15 9:55,9/20/15 9:45,,9/20/15 9:59,9/20/15 10:46,9/20/15 10:51,9/20/15 11:09,9/20/15 10:52,0:05:47
United Airlines,UAL1029,N87527,B738,Arrival,YYT,EWR,Gate_136,Gate_136,4R,4R,YYT,,9/20/15 10:48,,9/20/15 7:45,9/20/15 7:41,,9/20/15 7:52,9/20/15 10:48,9/20/15 10:53,9/20/15 11:15,9/20/15 10:54,0:05:52
United Airlines,TCF3558,N863RW,E170,Arrival,JAX,EWR,Gate_22,Gate_22,4R,4R,WISPR,,9/20/15 10:50,,9/20/15 8:55,9/20/15 8:50,,9/20/15 9:01,9/20/15 10:50,9/20/15 10:56,9/20/15 11:19,9/20/15 10:57,0:06:29
United Airlines,UAL1504,N61887,B739,Arrival,BOS,EWR,Gate_92,Gate_92,4R,4R,PATSS,,9/20/15 10:52,,9/20/15 9:35,9/20/15 9:54,,9/20/15 10:04,9/20/15 10:52,9/20/15 10:57,9/20/15 10:59,9/20/15 10:58,0:06:04
United Airlines,UCA4779,N351PH,DH8B,Arrival,BUF,EWR,Gate_84,Gate_84,4R,4R,BEEPS,,9/20/15 10:53,,9/20/15 9:31,9/20/15 9:21,,9/20/15 9:39,9/20/15 10:53,9/20/15 10:56,9/20/15 11:10,9/20/15 10:57,0:03:31
United Airlines,ASQ4471,N14203,E45X,Arrival,CLT,EWR,Gate_26X,Gate_26X,4R,4R,MERIL,,9/20/15 10:55,,9/20/15 9:12,9/20/15 9:22,,9/20/15 9:42,9/20/15 10:55,9/20/15 10:59,9/20/15 11:02,9/20/15 11:00,0:04:36
United Airlines,UCA4770,N367PH,DH8B,Arrival,PVD,EWR,Gate_85,Gate_85,4R,4R,PVD,,9/20/15 10:57,,9/20/15 10:00,9/20/15 9:46,,9/20/15 10:00,9/20/15 10:57,9/20/15 10:59,9/20/15 11:19,9/20/15 10:59,0:02:36
General Aviation,SWA389,N492WN,B737,Arrival,AUS,EWR,Gate_14,Gate_14,4R,4R,JESSO,,9/20/15 10:59,,9/20/15 7:45,9/20/15 7:55,,9/20/15 8:03,9/20/15 10:59,9/20/15 11:08,9/20/15 11:30,9/20/15 11:24,0:24:58
United Airlines,ASQ4111,N17146,E45X,Arrival,CHS,EWR,Gate_21,Gate_21,4L,4L,FILLI,,9/20/15 11:01,,9/20/15 9:34,9/20/15 9:27,,9/20/15 9:37,9/20/15 11:01,9/20/15 11:06,9/20/15 11:33,9/20/15 11:14,0:12:52
United Airlines,RPA4897,N328NG,DH8D,Arrival,BWI,EWR,Gate_101,Gate_101,4L,4L,SWANN,,9/20/15 11:03,,9/20/15 10:19,9/20/15 10:06,,9/20/15 10:27,9/20/15 11:03,9/20/15 11:36,9/20/15 11:33,9/20/15 11:37,0:33:59
United Airlines,RPA3290,N725YX,E170,Arrival,MSP,EWR,Gate_103,Gate_103,4R,4R,ODI,,9/20/15 11:04,,9/20/15 8:45,9/20/15 8:41,,9/20/15 8:53,9/20/15 11:04,9/20/15 11:08,9/20/15 11:27,9/20/15 11:09,0:04:35
United Airlines,UAL1790,N77430,B739,Arrival,MCO,EWR,Gate_74,Gate_74,4R,4R,SAV,,9/20/15 11:06,,9/20/15 9:00,9/20/15 8:53,,9/20/15 9:03,9/20/15 11:06,9/20/15 11:10,9/20/15 11:37,9/20/15 11:10,0:04:27
General Aviation,POE127,C-GLQJ,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,4R,4R,AHPAH,International,9/20/15 11:07,9/20/15,9/20/15 9:55,9/20/15 9:55,,9/20/15 10:01,9/20/15 11:07,,9/20/15 11:25,9/20/15 11:24,0:16:55
United Airlines,UAL24,N29129,B752,Arrival,SNN,EWR,Gate_86,Gate_86,4R,4R,4336N/06654W,,9/20/15 11:09,,9/20/15 4:05,9/20/15 4:04,,9/20/15 4:18,9/20/15 11:09,9/20/15 11:15,9/20/15 11:25,9/20/15 11:15,0:06:16
United Airlines,UAL22,N14120,B752,Arrival,DUB,EWR,Gate_90,Gate_90,4R,4R,4336N/06654W,,9/20/15 11:10,,9/20/15 4:00,9/20/15 3:49,,9/20/15 3:59,9/20/15 11:10,9/20/15 11:18,9/20/15 11:35,9/20/15 11:24,0:14:14
United Airlines,RPA3313,N857RW,E170,Arrival,MCI,EWR,Gate_111,Gate_111,4R,4R,SPI,,9/20/15 11:11,,9/20/15 8:31,9/20/15 8:43,,9/20/15 8:55,9/20/15 11:11,9/20/15 11:16,9/20/15 11:20,9/20/15 11:17,0:05:31
United Airlines,UCA5008,N360PH,DH8B,Arrival,BDL,EWR,Gate_99,Gate_99,4R,4R,HFD,,9/20/15 11:13,,9/20/15 10:21,9/20/15 10:19,,9/20/15 10:31,9/20/15 11:13,9/20/15 11:17,9/20/15 11:31,9/20/15 11:17,0:04:26
United Airlines,UCA5004,N368PH,DH8B,Arrival,ITH,EWR,Gate_115,Gate_115,4R,4R,HNK,,9/20/15 11:14,,9/20/15 10:19,9/20/15 10:15,,9/20/15 10:27,9/20/15 11:14,9/20/15 11:18,9/20/15 11:29,9/20/15 11:18,0:04:11
United Airlines,UAL1969,N27213,B738,Arrival,BOS,EWR,Gate_94,Gate_94,4R,4R,PATSS,,9/20/15 11:15,,9/20/15 10:10,9/20/15 10:13,,9/20/15 10:26,9/20/15 11:15,9/20/15 11:19,9/20/15 11:34,9/20/15 11:21,0:05:24
United Airlines,UAL923,N659UA,B763,Arrival,LHR,EWR,Gate_130,Gate_130,4R,4R,4337N/06654W,,9/20/15 11:19,,9/20/15 3:40,9/20/15 3:36,,9/20/15 3:55,9/20/15 11:19,,9/20/15 11:45,9/20/15 11:38,0:19:06
United Airlines,UAL751,N665UA,B763,Arrival,IAH,EWR,Gate_108,Gate_108,4R,4R,ORRTH,,9/20/15 11:22,,9/20/15 8:20,9/20/15 8:25,,9/20/15 8:42,9/20/15 11:22,9/20/15 11:26,9/20/15 11:55,9/20/15 11:27,0:04:48
United Airlines,ASQ4104,N16170,E45X,Arrival,RDU,EWR,Gate_25A,Gate_25A,4R,4R,FAK,,9/20/15 11:25,,9/20/15 10:20,9/20/15 10:11,,9/20/15 10:25,9/20/15 11:25,9/20/15 11:32,9/20/15 11:54,9/20/15 11:33,0:08:19
United Airlines,UAL71,N29124,B752,Arrival,AMS,EWR,Gate_63,Gate_63,4R,4R,4337N/06654W,,9/20/15 11:27,,9/20/15 3:15,9/20/15 3:12,,9/20/15 3:21,9/20/15 11:27,9/20/15 11:32,9/20/15 11:55,9/20/15 11:33,0:05:54
United Airlines,UAL14,N67052,B764,Arrival,HNL,EWR,Gate_102,Gate_102,4R,4R,EBBER,,9/20/15 11:28,,9/20/15 2:20,9/20/15 2:17,,9/20/15 2:36,9/20/15 11:28,9/20/15 11:31,9/20/15 12:01,9/20/15 11:32,0:03:44
United Airlines,UAL26,N12116,B752,Arrival,BHX,EWR,Gate_137,Gate_137,4R,4R,4336N/06654W,,9/20/15 11:30,,9/20/15 4:00,9/20/15 3:45,,9/20/15 3:58,9/20/15 11:30,9/20/15 11:36,9/20/15 12:05,9/20/15 11:37,0:06:13
United Airlines,ASQ4762,N15912,E145,Arrival,GRR,EWR,Gate_26A,Gate_26A,4R,4R,SVM,,9/20/15 11:32,,9/20/15 9:52,9/20/15 9:56,,9/20/15 10:08,9/20/15 11:32,9/20/15 11:38,9/20/15 11:42,9/20/15 11:39,0:06:22
General Aviation,DAL157,N1604R,B763,Arrival,LHR,EWR,Gate_53,Gate_53,4R,4R,,International,9/20/15 11:36,9/20/15,9/20/15 4:05,9/20/15 3:51,,9/20/15 4:06,9/20/15 11:36,9/20/15 11:40,9/20/15 12:10,9/20/15 11:40,0:04:21
General Aviation,JBU728,N523JB,A320,Arrival,MCO,EWR,Gate_17,Gate_17,4R,4R,SAV,,9/20/15 11:39,,9/20/15 9:32,,,9/20/15 9:37,9/20/15 11:39,9/20/15 11:45,9/20/15 12:06,9/20/15 11:46,0:06:32
United Airlines,UAL37,N14102,B752,Arrival,EDI,EWR,Gate_66,Gate_66,4R,4R,4337N/06654W,,9/20/15 11:41,,9/20/15 4:25,9/20/15 4:15,,9/20/15 4:26,9/20/15 11:41,9/20/15 11:44,9/20/15 12:15,9/20/15 11:46,0:04:36
General Aviation,SWA1322,N7701B,B737,Arrival,STL,EWR,Gate_15,Gate_15,4R,4R,ROD,,9/20/15 11:42,,9/20/15 9:50,9/20/15 9:45,,9/20/15 9:55,9/20/15 11:42,9/20/15 11:48,9/20/15 12:15,9/20/15 11:48,0:05:42
General Aviation,AAL0000,N732US,A319-112,Arrival,,,,Gate_36,4R,4R,,,9/20/15 11:44,,,,,,9/20/15 11:44,9/20/15 11:48,,9/20/15 11:48,0:04:23
United Airlines,UAL63,N19117,B752,Arrival,MAD,EWR,Gate_56,Gate_56,4R,4R,ZMR,,9/20/15 11:45,,9/20/15 3:35,9/20/15 3:35,,9/20/15 3:56,9/20/15 11:45,9/20/15 11:49,9/20/15 12:20,9/20/15 11:51,0:05:45
United Airlines,UAL162,N13113,B752,Arrival,GLA,EWR,Gate_65,Gate_65,4R,4R,4311N/06654W,,9/20/15 11:47,,9/20/15 4:00,9/20/15 4:20,,9/20/15 4:34,9/20/15 11:47,9/20/15 11:50,9/20/15 11:45,9/20/15 11:51,0:03:54
United Airlines,ASQ4166,N13538,E145,Arrival,GSP,EWR,Gate_24,Gate_24,4R,4R,SPA,,9/20/15 11:48,,9/20/15 10:20,9/20/15 10:15,,9/20/15 10:23,9/20/15 11:48,9/20/15 11:53,9/20/15 12:13,9/20/15 11:54,0:05:41
United Airlines,UAL957,N651UA,B763,Arrival,GVA,EWR,Gate_123,Gate_123,4R,4R,4336N/06654W,,9/20/15 11:50,,9/20/15 3:20,9/20/15 3:17,,9/20/15 3:29,9/20/15 11:50,9/20/15 11:53,9/20/15 12:15,9/20/15 11:54,0:04:34
United Airlines,ASQ4635,N11140,E45X,Arrival,YUL,EWR,Gate_28,Gate_28,4R,4R,FAWNS,,9/20/15 11:52,,9/20/15 10:27,9/20/15 10:25,,9/20/15 10:46,9/20/15 11:52,9/20/15 11:56,9/20/15 12:01,9/20/15 12:04,0:12:23
United Airlines,UAL75,N18119,B752,Arrival,HAM,EWR,Gate_67,Gate_67,4R,4R,4337N/06654W,,9/20/15 11:53,,9/20/15 3:00,9/20/15 2:54,,9/20/15 3:15,9/20/15 11:53,9/20/15 11:59,9/20/15 12:05,9/20/15 12:01,0:07:14
United Airlines,RPA4903,N188WQ,DH8D,Arrival,BUF,EWR,Gate_109,Gate_109,4R,4R,GEE,,9/20/15 11:55,,9/20/15 10:48,9/20/15 10:42,,9/20/15 10:52,9/20/15 11:55,9/20/15 11:57,9/20/15 12:20,9/20/15 12:04,0:09:14
General Aviation,FLG3718,N8905F,CRJ2,Arrival,DTW,EWR,Gate_41B,Gate_41B,4R,4R,ERRTH,,9/20/15 11:56,,9/20/15 10:25,9/20/15 10:22,,9/20/15 10:44,9/20/15 11:56,9/20/15 12:02,9/20/15 12:12,9/20/15 12:03,0:06:42
General Aviation,DAL1798,N961DL,MD88,Arrival,ATL,EWR,Gate_45,Gate_45,4R,4R,SPA,Domestic,9/20/15 11:58,9/20/15,9/20/15 10:00,9/20/15 10:03,,9/20/15 10:21,9/20/15 11:58,9/20/15 12:02,9/20/15 12:19,9/20/15 12:02,0:04:50
United Airlines,RPA3870,N195WQ,DH8D,Arrival,BTV,EWR,Gate_70,Gate_70,4R,4R,HANAA,,9/20/15 11:59,,9/20/15 10:10,9/20/15 10:45,,9/20/15 10:57,9/20/15 11:59,9/20/15 12:02,9/20/15 11:37,9/20/15 12:09,0:09:45
United Airlines,RPA3281,N723YX,E170,Arrival,DTW,EWR,Gate_72,Gate_72,4R,4R,ERRTH,,9/20/15 12:01,,9/20/15 10:37,9/20/15 10:32,,9/20/15 10:52,9/20/15 12:01,9/20/15 12:03,9/20/15 12:21,9/20/15 12:09,0:08:33
United Airlines,UAL56,N78001,B772,Arrival,CDG,EWR,Gate_138,Gate_138,4R,4R,EVX,,9/20/15 12:02,,9/20/15 3:45,9/20/15 3:57,,9/20/15 4:14,9/20/15 12:02,9/20/15 12:07,9/20/15 12:05,9/20/15 12:07,0:05:23
United Airlines,ASQ4323,N14174,E45X,Arrival,SYR,EWR,Gate_23,Gate_23,4R,4R,POMPY,,9/20/15 12:04,,9/20/15 10:54,9/20/15 10:47,,9/20/15 11:20,9/20/15 12:04,9/20/15 12:10,9/20/15 12:00,9/20/15 12:11,0:06:13
United Airlines,UAL1037,N37437,B739,Arrival,TPA,EWR,Gate_80,Gate_80,4R,4R,DUNKN,,9/20/15 12:06,,9/20/15 9:48,9/20/15 9:43,,9/20/15 9:55,9/20/15 12:06,9/20/15 12:10,9/20/15 12:30,9/20/15 12:10,0:04:04
United Airlines,RPA4881,N346NG,DH8D,Arrival,DCA,EWR,Gate_107,Gate_107,4R,4R,PALEO,,9/20/15 12:08,,9/20/15 11:06,9/20/15 11:04,,9/20/15 11:25,9/20/15 12:08,9/20/15 12:10,9/20/15 12:30,9/20/15 12:14,0:06:34
United Airlines,ASQ4638,N12540,E145,Arrival,CVG,EWR,Gate_20A,Gate_20A,4R,4R,BNGLE,,9/20/15 12:09,,9/20/15 10:35,9/20/15 10:25,,9/20/15 10:35,9/20/15 12:09,9/20/15 12:15,9/20/15 12:30,9/20/15 12:24,0:15:05
General Aviation,JBU306,N648JB,A320,Arrival,FLL,EWR,Gate_16,Gate_16,4R,4R,ZAPPA,,9/20/15 12:10,,9/20/15 9:37,,,9/20/15 9:43,9/20/15 12:10,9/20/15 12:16,9/20/15 12:30,9/20/15 12:17,0:07:05
United Airlines,UAL1259,N36247,B738,Arrival,MCO,EWR,Gate_97,Gate_97,4R,4R,SAV,,9/20/15 12:12,,9/20/15 9:55,9/20/15 9:55,,9/20/15 10:09,9/20/15 12:12,9/20/15 12:15,9/20/15 12:33,9/20/15 12:17,0:04:49
United Airlines,ASQ4103,N16981,E145,Arrival,YYZ,EWR,Gate_23A,Gate_23A,4R,4R,BMPAH,,9/20/15 12:13,,9/20/15 11:00,9/20/15 10:51,,9/20/15 11:11,9/20/15 12:13,9/20/15 12:18,9/20/15 12:39,9/20/15 12:24,0:11:04
General Aviation,JAI228,VT-JWR,A333,Arrival,BRU,EWR,,,4R,4R,MOWND227025,International,9/20/15 12:15,9/20/15,9/20/15 4:10,9/20/15 4:08,,,9/20/15 12:15,,9/20/15 12:30,9/20/15 12:23,
United Airlines,UAL1228,N76288,B738,Arrival,RSW,EWR,Gate_84,Gate_84,4R,4R,ORL,,9/20/15 12:17,,9/20/15 9:45,9/20/15 9:41,,9/20/15 9:52,9/20/15 12:17,9/20/15 12:24,9/20/15 12:34,9/20/15 12:24,0:07:01
United Airlines,UAL998,N78002,B772,Arrival,BRU,EWR,Gate_121,Gate_121,4R,4R,4336N/06654W,,9/20/15 12:19,,9/20/15 4:00,9/20/15 4:16,,9/20/15 4:34,9/20/15 12:19,9/20/15 12:23,9/20/15 12:20,9/20/15 12:24,0:05:13
United Airlines,UAL1243,N69840,B739,Arrival,BOS,EWR,Gate_83,Gate_83,4R,4R,PATSS,,9/20/15 12:21,,9/20/15 11:10,9/20/15 11:08,,9/20/15 11:32,9/20/15 12:21,9/20/15 12:24,9/20/15 12:45,9/20/15 12:25,0:04:23
United Airlines,TCF3582,N633RW,E170,Arrival,STL,EWR,Gate_88,Gate_88,4R,4R,ROD,,9/20/15 12:23,,9/20/15 10:20,9/20/15 10:18,,9/20/15 10:27,9/20/15 12:23,9/20/15 12:26,9/20/15 12:45,9/20/15 12:26,0:03:42
United Airlines,UAL80,N57111,B752,Arrival,MAN,EWR,Gate_135,Gate_135,4R,4R,4337N/06654W,,9/20/15 12:24,,9/20/15 4:25,9/20/15 4:33,,9/20/15 4:48,9/20/15 12:24,9/20/15 12:29,9/20/15 12:30,9/20/15 12:30,0:05:16
United Airlines,UAL1156,N39418,B739,Arrival,FLL,EWR,Gate_71,Gate_71,4R,4R,ARKES,,9/20/15 12:26,,9/20/15 9:53,9/20/15 9:49,,9/20/15 10:00,9/20/15 12:26,9/20/15 12:33,9/20/15 12:55,9/20/15 12:38,0:12:39
United Airlines,UAL963,N648UA,B763,Arrival,TXL,EWR,Gate_60,Gate_60,4R,4R,4336N/06654W,,9/20/15 12:27,,9/20/15 3:40,9/20/15 3:45,,9/20/15 3:57,9/20/15 12:27,9/20/15 12:32,9/20/15 12:50,9/20/15 12:36,0:08:09
United Airlines,UCA4841,N838CA,DH8C,Arrival,BGM,EWR,Gate_85,Gate_85,4R,4R,CFB,,9/20/15 12:29,,9/20/15 11:49,9/20/15 11:39,,9/20/15 11:46,9/20/15 12:29,9/20/15 12:32,9/20/15 12:59,9/20/15 12:33,0:03:27
United Airlines,UAL65,N26123,B752,Arrival,LIS,EWR,Gate_61,Gate_61,4R,4R,BUSEN,,9/20/15 12:30,,9/20/15 5:25,9/20/15 5:17,,9/20/15 5:27,9/20/15 12:30,9/20/15 12:35,9/20/15 13:30,9/20/15 12:36,0:05:36
United Airlines,ASQ4334,N11539,E145,Arrival,CMH,EWR,Gate_26X,Gate_26X,4R,4R,GIVES,,9/20/15 12:32,,9/20/15 10:50,9/20/15 10:48,,9/20/15 11:11,9/20/15 12:32,9/20/15 12:38,9/20/15 12:34,9/20/15 12:40,0:08:20
United Airlines,UAL1967,N37298,B738,Arrival,CLE,EWR,Gate_95,Gate_95,4R,4R,FAILS,,9/20/15 12:33,,9/20/15 11:00,9/20/15 11:09,,9/20/15 11:30,9/20/15 12:33,,9/20/15 12:37,9/20/15 12:44,0:11:34
United Airlines,UAL107,N76055,B764,Arrival,MUC,EWR,Gate_120,Gate_120,4R,4R,GIVMI,,9/20/15 12:34,,9/20/15 3:30,9/20/15 3:31,,9/20/15 3:54,9/20/15 12:34,9/20/15 12:38,9/20/15 12:45,9/20/15 12:49,0:15:02
General Aviation,POE129,C-GLQC,DH8D,Arrival,YTZ,EWR,Gate_51,Gate_51,4R,4R,AHPAH,International,9/20/15 12:36,9/20/15,9/20/15 10:55,9/20/15 10:55,,9/20/15 11:24,9/20/15 12:36,9/20/15 12:40,9/20/15 12:25,9/20/15 12:41,0:04:47
General Aviation,SWA599,N7713A,B737,Arrival,BNA,EWR,Gate_15,Gate_15,4R,4R,SWAPP,,9/20/15 12:38,,9/20/15 10:50,,,9/20/15 11:02,9/20/15 12:38,9/20/15 12:54,9/20/15 13:00,9/20/15 12:55,0:16:43
General Aviation,SWA1907,N262WN,B737,Arrival,MDW,EWR,Gate_14,Gate_14,4R,4R,LEWKE,,9/20/15 12:40,,9/20/15 10:30,9/20/15 10:58,,9/20/15 11:07,9/20/15 12:40,9/20/15 12:46,9/20/15 12:35,9/20/15 12:54,0:14:23
United Airlines,UAL993,N76062,B764,Arrival,ZRH,EWR,Gate_63,Gate_63,4R,4R,VEBIT,,9/20/15 12:41,,9/20/15 4:15,9/20/15 4:11,,9/20/15 4:25,9/20/15 12:41,9/20/15 12:45,9/20/15 13:30,9/20/15 12:45,0:04:00
United Airlines,TCF3566,N644RW,E170,Arrival,RDU,EWR,Gate_25,Gate_25,4R,4R,FAK,,9/20/15 12:43,,9/20/15 11:29,9/20/15 11:22,,9/20/15 11:43,9/20/15 12:43,9/20/15 12:49,9/20/15 13:03,9/20/15 12:50,0:06:18
United Airlines,UAL1979,N75410,B739,Arrival,IAH,EWR,Gate_82,Gate_82,4R,4R,ORRTH,,9/20/15 12:45,,9/20/15 9:45,9/20/15 9:44,,9/20/15 9:59,9/20/15 12:45,9/20/15 12:48,9/20/15 13:26,9/20/15 12:50,0:05:07
General Aviation,JBU2479,N231JB,E190,Arrival,BOS,EWR,Gate_17,Gate_17,4R,4R,PATSS,,9/20/15 12:47,,9/20/15 11:30,,,9/20/15 11:55,9/20/15 12:47,9/20/15 12:55,9/20/15 12:58,9/20/15 12:55,0:07:50
General Aviation,SAS903,LN-RKO,A333,Arrival,ARN,EWR,,,4R,4R,TAFFY,International,9/20/15 12:49,9/20/15,9/20/15 4:25,9/20/15 4:23,,9/20/15 4:33,9/20/15 12:49,,9/20/15 12:55,9/20/15 13:03,
United Airlines,RPA3886,N34NG,DH8D,Arrival,ALB,EWR,Gate_101,Gate_101,4R,4R,ALB,,9/20/15 12:53,,9/20/15 12:06,9/20/15 12:04,,9/20/15 12:15,9/20/15 12:53,9/20/15 12:55,9/20/15 13:14,9/20/15 13:04,0:11:22
United Airlines,RPA3305,N651RW,E170,Arrival,DFW,EWR,Gate_111,Gate_111,4R,4R,BSKAT,,9/20/15 12:56,,9/20/15 9:40,9/20/15 9:38,,9/20/15 10:03,9/20/15 12:56,9/20/15 13:00,9/20/15 13:10,9/20/15 13:00,0:04:03
General Aviation,AAL660,N601AW,A320,Arrival,CLT,EWR,,,4R,4R,MERIL,,9/20/15 12:58,,9/18/15 11:20,,,9/18/15 11:35,9/20/15 12:58,,,,
United Airlines,UAL1909,N76514,B738,Arrival,MIA,EWR,Gate_96,Gate_96,4R,4R,HEDLY,,9/20/15 13:00,,9/20/15 10:00,9/20/15 10:13,,9/20/15 10:36,9/20/15 13:00,9/20/15 13:04,9/20/15 12:58,9/20/15 13:05,0:04:47
United Airlines,UAL1554,N76516,B738,Arrival,SJO,EWR,Gate_132,Gate_132,4R,4R,MEDIR,,9/20/15 13:02,,9/20/15 8:00,9/20/15 8:12,,9/20/15 8:26,9/20/15 13:02,9/20/15 13:08,9/20/15 13:15,9/20/15 13:09,0:07:10
United Airlines,ASQ4644,N12569,E145,Arrival,YHZ,EWR,Gate_27,Gate_27,4R,4R,ALLEX,,9/20/15 13:04,,9/20/15 10:58,9/20/15 11:02,,9/20/15 11:13,9/20/15 13:04,9/20/15 13:09,9/20/15 13:10,9/20/15 13:09,0:05:28
United Airlines,UAL1530,N27239,B738,Arrival,MCO,EWR,Gate_92,Gate_92,4R,4R,SAV,,9/20/15 13:05,,9/20/15 10:55,9/20/15 10:49,,9/20/15 11:01,9/20/15 13:05,9/20/15 13:14,9/20/15 13:33,9/20/15 13:18,0:13:25
United Airlines,ASQ4527,N11565,E145,Arrival,IND,EWR,Gate_26A,Gate_26A,4R,4R,BDOCK,,9/20/15 13:08,,9/20/15 11:35,9/20/15 11:27,,9/20/15 11:39,9/20/15 13:08,9/20/15 13:13,9/20/15 13:38,9/20/15 13:14,0:05:36
General Aviation,BAW185,G-ZZZA,B772,Arrival,LHR,EWR,,Gate_53,4R,4R,MOWND297034,International,9/20/15 13:10,9/20/15,9/20/15 5:35,9/20/15 5:35,,9/20/15 5:58,9/20/15 13:10,9/20/15 13:15,9/20/15 13:15,9/20/15 13:16,0:05:34
General Aviation,DAL1160,N915AT,B712,Arrival,ATL,EWR,Gate_46B,Gate_46B,4R,4R,SPA,Domestic,9/20/15 13:12,9/20/15,9/20/15 11:25,9/20/15 11:24,,9/20/15 11:38,9/20/15 13:12,9/20/15 13:16,9/20/15 13:36,9/20/15 13:17,0:04:25
General Aviation,SAS907,LN-RKH,A333,Arrival,OSL,EWR,,Gate_65,4R,4R,TAFFY,International,9/20/15 13:14,9/20/15,9/20/15 5:10,9/20/15 5:07,,9/20/15 5:25,9/20/15 13:14,9/20/15 13:18,9/20/15 13:15,9/20/15 13:19,0:05:03
United Airlines,ASQ4693,N16147,E45X,Arrival,MSP,EWR,Gate_24,Gate_24,4R,4R,ODI,,9/20/15 13:16,,9/20/15 10:44,9/20/15 10:41,,9/20/15 10:55,9/20/15 13:16,9/20/15 13:26,9/20/15 13:33,9/20/15 13:27,0:11:09
General Aviation,,19,,Arrival,,,,,4R,4R,,,9/20/15 13:17,,,,,,9/20/15 13:17,9/20/15 13:27,,,
General Aviation,CNS121,N769AF,PC12,Arrival,SDF,EWR,,,4R,4R,IIU,,9/20/15 13:21,,9/20/15 10:30,,,9/20/15 10:51,9/20/15 13:21,,,,
United Airlines,UAL41,N76054,B764,Arrival,FCO,EWR,Gate_56,Gate_56,4R,4R,PODOX,,9/20/15 13:22,,9/20/15 3:55,9/20/15 3:52,,9/20/15 4:13,9/20/15 13:22,9/20/15 13:26,9/20/15 13:55,9/20/15 13:26,0:04:03
United Airlines,TCF3545,N859RW,E170,Arrival,ORD,EWR,Gate_99,Gate_99,4R,4R,DUFEE,,9/20/15 13:24,,9/20/15 11:29,9/20/15 11:32,,9/20/15 11:45,9/20/15 13:24,9/20/15 13:28,9/20/15 13:45,9/20/15 13:28,0:03:49
United Airlines,UAL1935,N58101,B752,Arrival,DEN,EWR,Gate_137,Gate_134,4R,4R,ZIRKL,,9/20/15 13:25,,9/16/15 14:40,9/16/15 14:43,,9/16/15 14:55,9/20/15 13:25,9/20/15 13:31,9/16/15 18:27,9/20/15 13:32,0:06:54
United Airlines,ASQ4583,N12564,E145,Arrival,ATL,EWR,Gate_21,Gate_21,4R,4R,SPA,,9/20/15 13:26,,9/20/15 11:30,9/20/15 11:27,,9/20/15 11:39,9/20/15 13:26,9/20/15 13:33,9/20/15 13:51,9/20/15 13:33,0:06:58
General Aviation,BOS1,F-GPEK,,Arrival,ORY,EWR,,,4R,4R,,,9/20/15 13:28,9/20/15,,,,,9/20/15 13:28,,,,
