Carrier Group,Call Sign,Registration,Model,Operation,Origination Airport,Destination Airport,Gate Assigned (Aerobahn),Gate,Runway Assigned (Aerobahn),Runway,First Fix,International or Domestic Indicator,Event Time,Flight Origination Date,Scheduled Off Block Time (Aerobahn),Actual Off Block Time (Aerobahn),Movement Area Entrance Time,Actual Take Off Time (Aerobahn),Actual Landing Time (Aerobahn),Movement Area Exit Time,Scheduled In Block Time (Aerobahn),Actual In Block Time (Aerobahn),Total Taxi Time
United Airlines,UAL83,N78017,B772,Arrival,DEL,EWR,Gate_138,Gate_138,22L,22L,YSC,,9/19/15 5:31,,9/18/15 14:05,9/18/15 14:00,,9/18/15 14:33,9/19/15 5:31,9/19/15 5:38,9/19/15 5:15,9/19/15 5:38,0:07:18
United Airlines,UAL1162,N77431,B739,Arrival,BQN,EWR,Gate_133,Gate_133,22L,22L,JAAWS,,9/19/15 5:33,,9/19/15 1:50,9/19/15 1:46,,9/19/15 1:59,9/19/15 5:33,9/19/15 5:41,9/19/15 5:45,9/19/15 5:44,0:10:59
United Airlines,UAL1760,N68811,B739,Arrival,PDX,EWR,Gate_108,Gate_108,22L,22L,PDT,,9/19/15 5:35,,9/19/15 0:45,9/19/15 0:44,,9/19/15 0:56,9/19/15 5:35,9/19/15 5:40,9/19/15 5:50,9/19/15 5:41,0:06:42
United Airlines,UAL49,N69020,B772,Arrival,BOM,EWR,Gate_123,Gate_123,22L,22L,LIAND295007,,9/19/15 5:36,,9/18/15 13:50,9/18/15 13:49,,9/18/15 14:11,9/19/15 5:36,9/19/15 5:42,9/19/15 5:40,9/19/15 5:43,0:07:01
United Airlines,UAL1968,N69840,B739,Arrival,SAN,EWR,Gate_72,Gate_72,22L,22L,IPL,,9/19/15 5:38,,9/19/15 0:45,9/19/15 0:35,,9/19/15 0:46,9/19/15 5:38,9/19/15 5:44,9/19/15 5:58,9/19/15 5:46,0:07:28
United Airlines,UAL1944,N76528,B738,Arrival,SFO,EWR,Gate_101,Gate_101,22L,22L,SYRAH,,9/19/15 5:58,,9/19/15 0:48,9/19/15 0:50,,9/19/15 1:07,9/19/15 5:58,9/19/15 6:04,9/19/15 6:16,9/19/15 6:05,0:06:42
United Airlines,UCA4851,N857CA,DH8C,Arrival,BDL,EWR,Gate_114,Gate_114,22L,22L,HFD,,9/19/15 6:01,,9/19/15 5:18,9/19/15 5:08,,9/19/15 5:28,9/19/15 6:01,9/19/15 6:06,9/19/15 6:25,9/19/15 6:06,0:05:25
General Aviation,UPS1082,N313UP,B763,Arrival,SDF,EWR,,Gate_UPS4,22L,22L,CVG,,9/19/15 6:27,,9/19/15 4:38,,,9/19/15 4:55,9/19/15 6:27,9/19/15 6:32,,9/19/15 6:34,0:07:04
United Airlines,UAL1203,N73860,B753,Arrival,LAX,EWR,Gate_83,Gate_83,22L,22L,TRM,,9/19/15 6:34,,9/19/15 1:38,9/19/15 1:35,,9/19/15 2:00,9/19/15 6:34,9/19/15 6:38,9/19/15 6:48,9/19/15 6:38,0:03:56
General Aviation,FDX1402,N523FE,MD11,Arrival,MEM,EWR,,Gate_FedEx_4,22L,22L,DIYAB,,9/19/15 6:38,,9/19/15 4:12,,,9/19/15 4:42,9/19/15 6:38,9/19/15 6:41,,9/19/15 6:42,0:03:13
United Airlines,UAL1608,N77261,B738,Arrival,SFO,EWR,Gate_98,Gate_98,22L,22L,SYRAH,,9/19/15 6:41,,9/19/15 1:34,9/19/15 1:39,,9/19/15 1:53,9/19/15 6:41,9/19/15 6:45,9/19/15 7:00,9/19/15 6:45,0:04:16
United Airlines,UCA4791,N362PH,DH8B,Arrival,AVP,EWR,Gate_115,Gate_115,22L,22L,LVZ,,9/19/15 6:43,,9/19/15 6:05,9/19/15 5:59,,9/19/15 6:12,9/19/15 6:43,9/19/15 6:46,9/19/15 7:04,9/19/15 6:46,0:03:33
United Airlines,UCA4829,N368PH,DH8B,Arrival,ITH,EWR,Gate_111,Gate_111,22R,22R,HNK,,9/19/15 6:44,,9/19/15 6:00,9/19/15 5:50,,9/19/15 6:04,9/19/15 6:44,9/19/15 6:47,9/19/15 7:11,9/19/15 6:47,0:02:53
United Airlines,RPA4909,N188WQ,DH8D,Arrival,BTV,EWR,Gate_105,Gate_105,22L,22L,HANAA,,9/19/15 6:46,,9/19/15 6:00,9/19/15 5:45,,9/19/15 5:57,9/19/15 6:46,9/19/15 6:50,9/19/15 7:30,9/19/15 6:54,0:07:39
United Airlines,RPA3283,N722YX,E170,Arrival,PVD,EWR,Gate_103,Gate_103,22L,22L,PUT,,9/19/15 6:48,,9/19/15 5:56,9/19/15 5:47,,9/19/15 6:08,9/19/15 6:48,9/19/15 6:53,9/19/15 7:00,9/19/15 6:54,0:05:56
United Airlines,UCA4789,N358PH,DH8B,Arrival,SYR,EWR,Gate_95,Gate_95,22L,22L,POMPY,,9/19/15 6:49,,9/19/15 6:05,9/19/15 5:55,,9/19/15 6:03,9/19/15 6:49,9/19/15 6:51,9/19/15 7:21,9/19/15 6:53,0:03:59
United Airlines,UAL1078,N26210,B738,Arrival,BOS,EWR,Gate_127,Gate_127,22L,22L,PATSS,,9/19/15 6:51,,9/19/15 5:55,9/19/15 5:51,,9/19/15 6:04,9/19/15 6:51,9/19/15 6:58,9/19/15 7:12,9/19/15 6:59,0:08:08
United Airlines,UCA3599,N351PH,DH8B,Arrival,BGM,EWR,Gate_84,Gate_84,22L,22L,CFB,,9/19/15 6:52,,9/19/15 6:07,9/19/15 5:57,,9/19/15 6:11,9/19/15 6:52,9/19/15 6:56,9/19/15 7:17,9/19/15 6:57,0:04:33
United Airlines,UAL1489,N75435,B739,Arrival,LAX,EWR,Gate_81,Gate_81,22L,22L,TRM,,9/19/15 6:54,,9/18/15 23:49,9/19/15 1:31,,9/19/15 1:49,9/19/15 6:54,9/19/15 6:59,9/19/15 5:10,9/19/15 7:00,0:05:43
United Airlines,ASQ6178,N14991,E145,Arrival,PWM,EWR,Gate_26A,Gate_26A,22L,22L,CAM,,9/19/15 6:58,,9/19/15 6:00,9/19/15 5:51,,9/19/15 6:03,9/19/15 6:58,9/19/15 7:01,9/19/15 7:30,9/19/15 7:03,0:04:54
United Airlines,RPA3275,N721YX,E170,Arrival,PIT,EWR,Gate_109,Gate_109,22L,22L,EWC,,9/19/15 7:00,,9/19/15 6:07,9/19/15 5:52,,9/19/15 6:09,9/19/15 7:00,9/19/15 7:03,9/19/15 7:29,9/19/15 7:05,0:04:35
United Airlines,ASQ4413,N11199,E45X,Arrival,ROC,EWR,Gate_23,Gate_23,22L,22L,HANKK,,9/19/15 7:02,,9/19/15 6:15,9/19/15 6:11,,9/19/15 6:19,9/19/15 7:02,9/19/15 7:05,9/19/15 7:30,9/19/15 7:19,0:17:41
